area_sqft,bedrooms,bathrooms,distance_from_college_km,furnished,wifi,food,mess,ac,parking,rent
200,1,1,1,1,1,1,1,0,0,7000
250,1,1,2,1,1,1,1,0,0,7500
300,1,1,1,0,1,1,1,0,0,6500
350,1,1,2,1,1,1,1,1,0,9000
400,2,1,2,1,1,1,1,0,0,9500
450,2,1,1,1,1,1,1,1,0,11000
500,2,2,2,1,1,1,1,1,1,12500
550,2,2,3,1,1,1,1,1,1,12000
600,2,2,2,0,1,1,1,1,1,11500
650,2,2,1,1,1,1,1,1,1,14000
700,2,2,3,1,1,0,1,1,1,13500
750,2,2,2,1,1,1,1,1,1,15000
800,3,2,3,1,1,1,1,1,1,16000
850,3,2,2,1,1,1,1,1,1,17000
900,3,3,3,1,1,1,1,1,1,18000
950,3,3,2,0,1,1,1,1,1,16500
1000,3,3,4,1,1,1,1,1,1,19000
1100,3,3,3,1,1,1,1,1,1,20000
1200,3,3,2,1,1,1,1,1,1,22000
1300,3,3,4,1,1,1,1,1,1,21500
